,Message,Category
105,i'll have to visit you on my older igadgets that can't be upgraded to the latest ios,Security Class
106,"jailbreaking to avoid, delete, and reinstall the old version (312) of this app is unacceptable",Security Class
107,it won't even download onto my ipod anymore :( not from my computer anyway,Security Class
108,i'm not very happy with only being able to read some of them on just one device,Security Class
109,i have multiple devices and just figured i be able to switch between them to read,Security Class
110,i have an iphone 5s and will not download the ios 802 update as when i updated to ios 6 in my 4s two years ago(,Security Class
111,"when my you updated this, my ipod won't exept it because it's for ipod 5th generation",Security Class
112,before my ipad worked fine but on the iphone nothing wouldn't show,Security Class
113,"sorry about that, new ver will not work on old ipads",Security Class
114,after getting the latest ipad i can no longer pull up the pdf's in ibooks on my new ipad,Security Class
115,also i can no longer make new folders in the new ipad,Security Class
116,"since the update it cuts out or kicks me out and i lose my place, it takes me back a few pages",Security Class
117,every since you updated the app is slower,Security Class
118,now ever since the update there is a horrible lag,Security Class
119,"shutting down time after time on my ipad air, not on my phone",Security Class
120,i got a new ipad and cannot open the app,Security Class
121,"since this is an apple app, i feel it should be a priority to update the app to work with the latest system update",Security Class
122,"when i updated to the most recent version of ibooks, it deleted all of my pdfs and epubs - anything not purchased from apple, in other words",Security Class
123,all my books were deleted the moment i updated,Security Class
124,i tried to installed the ibooks app on my ipod touch but it is asking for a newer software version,Security Class
125,i am very dissapointed on apple for not making this app accessible to their own devices,Security Class
126,"seriously, i don't know what they did to this app, but after the last update, it takes forever for books to download, and even then, i have to constantly go back to the store to download again and again, because apparently monkeys are running this show no",Security Class
127,books don't load on each of my apple products,Security Class
128,"in the last day, the ibooks app is giving me messages that i must have ipad or ibooks for mac to read certain pdfs which were easily readable in the past",Security Class
129,seems to be running slower since the update,Security Class
130,i've used this app for 4 yrs and i just upgraded my phone to the 5s and now all my books won't load i only tried to download one at a time and still won't,Security Class
131,latest version is not compatible with ios 6,Security Class
132,ios 6 is not supported,Security Class
133,i get frustrated by not being able to find versions compatible with my backup older devices i carry on long battery intensive trips,Security Class
134,"however because i have bought books and though i can open them on apple device in which they were purchased, i can't find them on my other apple devices",Security Class
135,"now that apple has finally released a desktop version, ",Security Class
136,"especially as an avid reader, but ever since i replaced my ipad, any time i try to download a book, it says cannot connect to itunes store",Security Class
137,"but with the new update it's ridiculously slow, and glitches all the time",Security Class
138,"o tried to delete it but it kept saying ""please wait for a moment"" and it would be loading too long",Security Class
139,all apps are work perfectly but in whatsapp some time msg is deliver too late why why why,Security Class
140,it has taken more time to connect the call,Security Class
141,and also whatsapp message take more time to deliver the message and reading report also very slow,Security Class
142,video call facility is very slow and more buffering major time could not place video call to contacts please improve simple to connect video call to contact,Security Class
143,pls i don't have sufficent space for updating what's app so plz i request to u to make this update more less mb,Security Class
144,it's very smooth and fast and very useful for all the time,Security Class
145,"and many issues are happening like video calling, message delay timing",Security Class
146,a bit laggy on  g network,Security Class
147,automatic voice connection in super fast mode like an other calling app,Security Class
148,this is an issue because it drains battery power leaving my phone screen on and also the screen is too bright for when i sleep so i have to hide it under my pillow,Security Class
149,it costs too much data to update,Security Class
150,it's stressful to have always your device storage full because of one app,Security Class
151,"fed up of  ""waiting for this message this may take a while""",Security Class
152,waiting for hrs together to get the message,Security Class
153,it is very fast,Security Class
154,it lags too much,Security Class
155,i'm using galaxy s  which already has battery issues and whatsapp makes it so much worse,Security Class
156,somehow whatsapp uses most battery on my phone; close to   %,Security Class
157,between    to   it consumed  gb of data while delivery   messages,Security Class
158,working slow in night time,Security Class
159,and it's time and speed is very poor,Security Class
160,needs very low bandwidth,Security Class
161,messages appear very late,Security Class
162,and of course consumes minimal data which is the biggest boon as far as i see,Security Class
163,no bugs and each messages pass around the world in a flash of second,Security Class
164,sending message seems delay compare to previous version,Security Class
165,"it won't work smoothly when i slide the screen for my contact list ,chats and call log",Security Class
166,there is a long delay between messages sent and received,Security Class
167,load of whatsapp slows down phone,Security Class
168,very poor response,Security Class
169,but now it's a little laggy when i scroll in the contacts list,Security Class
170,it is not smooth when i scroll down and up in the contacts,Security Class
171,lag while scrolling contact,Security Class
172,it's quick and easy,Security Class
173,very fast and useful messenger,Security Class
174,in  g msg send slow,Security Class
175,fast and fast,Security Class
176,everything going smooth and faster,Security Class
177,very poor response,Security Class
178,runs smoothly,Security Class
179,mega smooth,Security Class
180,some time whatsaap working is very slow,Security Class
181,so much delay during call,Security Class
182,just lags a bit while scrolling through contacts,Security Class
183,working slow in night time,Security Class
184,it takes about    secondes to connect while the call is picked up,Security Class
185,so give it fast and now upgrade document   video send size give upto    mb,Security Class
186,consuming less data,Security Class
187,control very fast,Security Class
188,speedy connect,Security Class
189,takes way too long to connect with the other call,Security Class
190,"calling and video chatting, with low internet usage",Security Class
191,"these calling features make the app take up more space, ",Security Class
192,"it uses more battery power,",Security Class
193,sometimes lag during the call,Security Class
194,used huge amounts of memory when i wasn't even using it,Security Class
195,when i tried video messaging it was slow and lagging ,Security Class
196,video call takes more data ,Security Class
197,"communication is very fast and smooth, ",Security Class
198,it takes at least 30 minutes to download my books,Security Class
199,my install collected 250 mb of  nothing  despite all media deleted,Security Class
200,"lately, i have to wait a long time for the app or a book",Security Class
201,the books take forever to load,Security Class
202,sometimes if you wait a while the list of books comes up,Security Class
203,i had no problems at first--but now trying to read a book takes twice as long because it freezes up all the time,Security Class
204,iphone version is very slow,Security Class
205,it made it exremely blunt and laggy,Security Class
206,what i'm also pleased about is that pages turn quicker,Security Class
207,took a lot of time to gather and save them,Security Class
208,even opening a book takes too long,Security Class
209,"super slow, super buggy",Security Class
210,"it takes about 45 seconds for the page to turn or bookmark a page, rather than it being automatic",Security Class
211,"not to mention it gets stuck sideways (and page is blank) 
takes 1-2 mins to get it straightened out",Security Class
212,i would love it if it would just function smoothly,Security Class
213,"unresponsive buggy, glitchy awful",Security Class
214,you move the phone to landscape and for about a minute it stays vertical,Security Class
215,you go back to it takes another minute,Security Class
216,"then once i dl said book, if it's even on here, ibook is slow to respond and i'm repeatedly asked for my password simply to open the app",Security Class
217,sometimes it takes several days,Security Class
218,and the app is very sluggish when updating,Security Class
219,it downloads the books fast and are displayed nicely on your bookshelf,Security Class
220,"it loads painfully slowly on the ipad, for no discernible reason",Security Class
221,"it's not a bad platform, if you don't mind waiting, and waiting, for it to load",Security Class
222,"but the time i spend waiting for it to load the books i've already purchased, let alone trying to buy anything else makes me reluctant to put anyone else through the frustration i am put through every time i open the app",Security Class
223,"when i do get the chance to edit my books, i can do one change then it's back to the holding pattern of 3-5 mins",Security Class
224,the slowness of the ibookstore just drives me nuts,Security Class
225,not to mention the battery usage and heaven forbid if i switch from my ipad to my iphone and have to wait another 15+ minutes,Security Class
226,i say 15+ bc the last book took 40 freaking minutes w/ me having to constantly hit the cloud button to download over and over,Security Class
227,this is quicker and easier,Security Class
228,"after downloading ibooks to my iphone 5, my battery life dropped more than 50%",Security Class
229,"the moment i deleted it, battery life was back to normal",Security Class
230,"progressively, the app began to slow down",Security Class
231,interface doesn't respond well,Security Class
232,it takes 2 days just to get them done,Security Class
233,sorting downloaded books list is too annoying and slow,Security Class
234,i prefer reading pdfs on this app because the file loads faster,Security Class
235,but it's so slow when you go into the store,Security Class
236,takes 5+ minutes to update,Security Class
237,long long download times,Security Class
238,shows it's updating for 10min,Security Class
239,"it takes near an entire day to load them on, but about 2 seconds for ibooks to remove all of them",Security Class
240,the edit button usually can take up to five minutes to show up,Security Class
241,"it runs smoothly, presents well, and doesn't take up too much space",Security Class
242,too slow to open,Security Class
243,but it has way too much lag,Security Class
244,the performance is a lot quicker,Security Class
245,takes so long to open some pdfs,Security Class
246,"you expect us to adapt and, use a app that is slower , dummied down",Security Class
247,it's soo crappy now what the hell been trying to download a new book for an hour,Security Class
248,"ibooks store real slow to open,",Security Class
249,the ibookstore is exremely slow,Security Class
250,it runs just as smoothly as before,Security Class
251,the app is very slow,Security Class
252,"the app is slow,",Security Class
253,"slow, glitchy,",Security Class
254,it locks up and so slow,Security Class
255,slow to load,Security Class
256,i like the speed to search for words in my document ,Security Class
257,very slow,Security Class
258,slow,Security Class
259,"as time increasing i am getting disappointment,problem in uploading and downloading",Security Class
260,i am using whats app massngr since whats app have been lunch in india its an amazing app no prblm was faced bt aftr last update i have facing many prblm like - when i want to send o video or a photo my mbile hangd up or whn i want to make video cll to my,Security Class
261,i tried making video call and my friend wasn't able to receive it,Security Class
262,and when my friends called me back i want able to answer her call too it' is not working,Security Class
263,it's says you don't have this picture in your file when i receive the picture in my whatsapp texmessage,Security Class
264,video calls on my htc desire     disconnect all of a sudden followed by my phone switching off,Security Class
265,many of my friends are having the video call update but u just say (name of person) hasn't updated the app,Security Class
266,i have given it four star because i cannot use whatsapp web,Security Class
267,when i open whatsapp web in tablet it crashed the whatsapp,Security Class
268,app is not working properly,Security Class
269,now my phone is getting restarted whenever i open whatsapp,Security Class
270,my mobile keeps restarting after the latest updates please fix this problem i can't chat nor able to open the whatsapp,Security Class
271,the app is not responding and force close is offered by system,Security Class
272,sometimes starts on fresh reboot then returns to this behavior ,Security Class
273,not resolved by clearing app data too,Security Class
274,my whatsapp keep crash and just showing white empty when im trying to open it,Security Class
275,constantly tells me there's an error with my chat history and forces me to restore but does not restore recent chats,Security Class
276,when ever i used this program it stuck and can't open an less i uninstalled it,Security Class
277,"i have a problem with whatsapp video call ,i can't see the video of my incoming video call ,whenever i got a call it shows me a green lines on my screen",Security Class
278,very poor its not work properly,Security Class
279,hello as per couple of websites i am unable to block admin in one of my groups as i have already blocked him in my individual contact but still admin messages are pouring in group chat,Security Class
280,but i am not getting the video calls,Security Class
281,"i've adding a new contact to my phone, but even after i refresh it so many times, the new contact that i was adding to my phone doesn't appear in whatssapp contact",Security Class
282,i don't understand why i'm getting video call option which is not working even though i downloaded it from play store,Security Class
283,"i'm unable to give permission for any feature such as mic, camera, contacts etc",Security Class
284,cant view up in full the picture goes blur when clicked on it,Security Class
285,every time is close,Security Class
286,unfortunately what's aap is close it's a problem,Security Class
287,"i don't know if it's a bug or what but at times, even after the person is off the whatsapp, it shows online for a good   minute",Security Class
288,due to this the last seen is inaccurate,Security Class
289,"the videos do not dowload, they only appear in whatsapp conversation, not in the galery",Security Class
290,"there's an error of ""the file format is not supported"" it's the same with all the gif",Security Class
291,messengering is good but video call is very bad i can't see other person video,Security Class
292,gave   stars because of poor picture quality,Security Class
293,sometimes unwanted contacts and chats seems problematic,Security Class
294,when we are calling to other person and when the other person answer the call it automatically disconnects,Security Class
295,what is the problem of video calling,Security Class
296,i miss a lot important things,Security Class
297,i had friends calling me but i can see my self,Security Class
298,the others can't see me and i can see there dp instead of them,Security Class
299,it needs to fix the notifications on nougat,Security Class
300,we are only able to see the latest message in each conversation,Security Class
301,exellent voice and video quality,Security Class
302,now i hope it's quality doesn't deteriorate like skype,Security Class
303,"i have a problem, my whatsapp cannot make & received voice call",Security Class
304,"dear devs, on my nexs  p, running android n preview, whenever i open the emoji tab, it occupies the entire screen",Security Class
305,i guess when you are using mobile app and whatsapp web just the message of whatsapp is synch but the profile photo of your friends is different in whatsapp web and app are different from each other,Security Class
306,then i open whatsapp put i didn't find any messages help me please,Security Class
307,hey please fix it in my whtspp not showing blue ticks,Security Class
308,i do not receive any notification of messages in this app,Security Class
309,and   star for voice call quality across the world,Security Class
310,"after enabling the data connection, group messages load in wrong sequence, which makes it difficult to understand the conversation",Security Class
311,"if i was texting, my texts get wiped out, and too bad i have to rewrite the texts again, its worse if you were writing some kind of a pretty long text",Security Class
312,very low quality video,Security Class
313,update should not be made compulsory,Security Class
314,secondly most people have issues whenever they are updating their profile pic,Security Class
315,"hi team, i love whatsapp but from few days i am facing blue tick issue",Security Class
316,it is not working,Security Class
317,i have checked for read recipts and tried with uninstall and re install but still facing it,Security Class
318,i cant see blue tick in any contacts,Security Class
319,"i called to the person who is in abudhabi, but notification shows that ""person is in the country where whatsapp calling is unavailable "" kindly fix it",Security Class
320,and it said not responding and closing the app,Security Class
321,"i updated my app yesterday, and not only does it crash almost all the time, but last night it reset",Security Class
322,so i lost all my conversations (the ones from people i've not saved the numbers were the worst part),Security Class
323,it's like it restarted without me knowing anything,Security Class
324,i just see myself with no discussions anymore,Security Class
325,video call doesn't work,Security Class
326,whatsapp web does not work,Security Class
327,i have connected both devices at the same network and still not working,Security Class
328,however i am not able to see the opposite person,Security Class
329,the screen is shown in green,Security Class
330,"you still get to see unread msg count on the app icon, even for the groups which are muted and notifications off",Security Class
331,"that's the worst, i lose minutes worth of a message just because i get a phone call or my alarm goes off",Security Class
332,video calling working but video quality is very very poor however my wifi giving full speed,Security Class
333,the messages get stuck n i have to reinstall the app every time to send n receive messages,Security Class
334,why my whatsapp haven't received the latest update,Security Class
335,i am not able to send the audio files,Security Class
336,it automatically opens the record option,Security Class
337,can't recive messages when turn off what's app and when my phone was locked can't recive any tex or video etc,Security Class
338,and please fix these calling and msg issues soon,Security Class
339,sir update new whats app audio quality is bad,Security Class
340,however the day video call facility have started call quality have become very poor,Security Class
341,can't see the option for placing a video call yet i can receive them,Security Class
342,works good on  g and wifi still quality is distorted,Security Class
343,im not able to hear voices either in voice or video calls,Security Class
344,how is it possible to have a last seen online time stated at certain time when one was not online,Security Class
345,"for exmple it states ""last online was at  am"" but the person last online was actually  am",Security Class
346,but it needs to work with weak network connection such as imo,Security Class
347,i can't talk to bae,Security Class
348,to hv a gud touch with relatives but sometime its stuck,Security Class
349,every now and then says new message doesn't exst on sd card,Security Class
350,apparently it refuses to even receive the message on the phone,Security Class
351,but i'm too sad because i cannot recall my message if i have typo,Security Class
352,please fix bugs as it is making whatsapp unusable,Security Class
353,missing up on many important messages,Security Class
354,we dont get the message for many days,Security Class
355,"i can normally call everyone but one person, he can call everyone too, the problem happens when we try to call each other it never works",Security Class
356,"we used to talk for hours but suddenly stopped working, every time we call the ""connecting"" word stays on the screen while we hear the ringing sound, the call counter   :   never starts",Security Class
357,even after updating didn't work,Security Class
358,i don't know why the sound is not coming in video calls,Security Class
359,since the new video calling feature came out i tried it and it's great but the only problem with it is half of my screen is green,Security Class
360,but when my friend sends me pics of homework i do not get them in order,Security Class
361,if i get a page then i will get a different random page as nex,Security Class
362,there is no proper order,Security Class
363,i am using whatsapp on samsung galaxy a  and unfortunately when i use video call the camera didnt work well it shows a green stripes and cant see the other person,Security Class
364,i could not update to video calls,Security Class
365,what can be wrong,Security Class
366,video quality is best and it's is very light,Security Class
367,video call quality is very very poor,Security Class
368,in middle of nowhere suddenly message shows in notification that something wrong with your chat history,Security Class
369,done restore  -  times but still error,Security Class
370,i have tried a lot even over wifi am not able to downoad any images or videos being sent to me,Security Class
371,video quality is not so good but i hope it will b shorted very soon,Security Class
372,not able to send msg via jio connection,Security Class
373,whatsapp became dumb after my phone is connected to wifi,Security Class
374,all other apps in phone are having connectivity but watsapp says i am not connected to network to place a call,Security Class
375,i luv the whatsapp but today i m facing the problem while chating with my friends that is i m not getting the notification of messages while running other social network and after opening the whatsapp i get the all the messages,Security Class
376,means i didn't get the messages while my phone is in lock mode,Security Class
377,but the quality is bad,Security Class
378,whatsapp crashed several times,Security Class
379,"i am using it in my galaxy gtand nro,and during each day when i open app it shows message,something wrnt wrong need to restore",Security Class
380,"the person on the other side of the video call is able to see me and him/herself, but i cannot see them on my side",Security Class
381,i just see a green screen with vertical and horizontal stripes,Security Class
382,also voice calls do not ring at the time but become missed call,Security Class
383,"they work in the preview, but when i try to send it says ""file format not supported""",Security Class
384,and after re-installing i am not able to recieve the verification code,Security Class
385,even after connecting it with wifi i hear disturbing noises and voice is not reaching the other end,Security Class
386,application getting aborted frequently when installing and even while using,Security Class
387,it application terminated and pops message like 'unfortunately whatsapp stoped working ' several times,Security Class
388,it freezes my phone during calls,Security Class
389,im not to sure why but everytime i video call someone my screen is perfect and as soon as the person answers it shows the profile picture and turns green after that,Security Class
390,"sir, i am unable to make voice calls in redmi  s prime as when i try, a pop-up appears urging me to turn on microphone",Security Class
391,it's really good chatting app but after i used new video calling functionality in my htc desire     just in   or   mins my mobile switched off so fix the problem,Security Class
392,whatsapp call do not work and i cannot here they are not another person talking to me this whatsapp call is not working at all so please come up with the solution to make this whatsapp call more clearer,Security Class
393,but did not upload pic,Security Class
394,but disappointed with whatsapp video call quality,Security Class
395,the quality of video calls are very poor,Security Class
396,everytime i tried to refresh contact list then pop up appear and say please try again,Security Class
397,"it keeps on crashing and i lose my chat history, so i think whatsapp can help me figure out this problem",Security Class
398,it's getting break every second while playing,Security Class
399,it's a gr app but not working properly in my infocus  i  gb,Security Class
400,it is not showing the contact name in any way,Security Class
401,"before this , i try to voice , sudden it goes to trash by itself n voice call i heard who talk to me but they not hear me",Security Class
402,"my what's app is telling me that ""what's app has been denied voice call",Security Class
403,i can't even make voice call or video calls,Security Class
404,"there's an issue,drops many calls:(",Security Class
405,everytime it's showing error with ur chat backup n whatsapp goes blank n show the last backup to restore plz resolve this bug as i m always connected to wifi to restore the backup,Security Class
406,the only reason i didnt give this a   star is because even though people that get blocked they can still send you death threats,Security Class
407,there was no way that that much data can be used,Security Class
408,but in video chat video and audio could not synchronize properly in both device,Security Class
409,poor video call quality,Security Class
410,need improment at making & receiving call; phone always hang and lagged,Security Class
411,it doesnt show now last seen most of the time and it provides later the msgs when u connect the internet rather than other app,Security Class
412,random chat opens up when i check whatsapp aft a while,Security Class
413,"app is not responding while sending the pics, though the video call feature is working good",Security Class
414,"can't make my voice call suddenly, before it was exellent…",Security Class
415,"it automatically opens chat, send messages, and sometimes close itself",Security Class
416,"even though app is closed, its still show online",Security Class
417,"if i close app say @ :   pm , my last seen its showing is as  :  pm",Security Class
418,"able to hear the person on the other other end, but cannot see the video at all, it's all green with lines on it",Security Class
419,some times it dosent work,Security Class
420,"dear team, when i am in between a video call then suddenly phone restarted, i am using asus zenfone",Security Class
421,now whatsapp is not working properly,Security Class
422,it is doing my phone hang,Security Class
423,good quality of video call,Security Class
424,i can't record more than   seconds at all and it automatically cuts me off,Security Class
425,"only incoming vedio call possible , i am not able to connect an outgoing vedio call because no option is shown in my apps for this",Security Class
426,but only groups working on auto dowload media,Security Class
427,but after the new update app provides video calling but it has really bad quality,Security Class
428,send a tex and keeps showing me the sending sign and im not receiving any notification if i have a tex,Security Class
429,for days now my outgoing messages are not loading,Security Class
430,"on my no anyone use whatsapp id , when the id is already available on my  phone , don't know how is it possible , bt it creats a big problem for me  right now , please tell me what to do for this problem",Security Class
431,because of any bug in the app i'm unable to receive voice on speaker during voice call or video call that is why can't communicate while on video call at all,Security Class
432,"never had an issue with whatsapp crashing before, not even when i had a bad phone",Security Class
433,it's very good software but when i start voice call or video call software is going to hang,Security Class
434,always when i click display appears please restart your phone,Security Class
435,what's wrong with expression of emoji,Security Class
436,this whatsapp video calling don't work at all on my samsung galaxy s  i update it and everything still ain't working please fix it,Security Class
437,"cant send messages since last night and i thought i just have bad connection, but it doesn't",Security Class
438,other apps sending faster but i got a problem when sending here,Security Class
439,suddenly whatsap web can't respond,Security Class
440,many faults and errors,Security Class
441,"it kicks you out of your groups once you re-i stall it, not when you uninstall it",Security Class
442,also the app keeps crashing,Security Class
443,it always says reconnecting after many seconds during calls,Security Class
444,the app often hang and restart again by itself,Security Class
445,and also often tell that something wrong with the last conversation so it has to restore the chat,Security Class
446,app when ever i open the whatsapp couldnt open it or else asking for (whats up couldnt respond) report or ok,Security Class
447,"when your phone is offline for a while, say you don't have internet access you can not read your message history unless you re-register",Security Class
448,there is this green lines all over,Security Class
449,"now a days im facing a prblm in whatsapp, if anyone online i cant see that, its shows that 'last seen at ' but my friend is online,,,,,, and many times its shows wrong last seen time, ",Security Class
450,in some places in india in  g; it does not work,Security Class
451,i am unable to get video feedback when i make video calls,Security Class
452,just see a green screen,Security Class
453,i keep getting chat history error and any chat that wasn't backed up would be lost plus the app keeps closing,Security Class
454,when a message received it say waiting for a message means i have to wait to read a received msg but after waiting for a long tym message which was pending (in waiting) can't be received still,Security Class
455,why whatsapp massenger video call held my phone,Security Class
456,starting its good but after   min during video call it held my mobile,Security Class
457,otherwise my mobile held during whats app video call,Security Class
458,the details are lost,Security Class
459,"if you are trying to take a picture of tex on a sheet, it ain't visible at all",Security Class
460,please improve the quality of the calls,Security Class
461,currently i can't even turn off calls and voice calls for all contacts,Security Class
462,have changed it back to cellular data and still the same problem what should i do,Security Class
463,"before the update, my chats all disappeared and now i don't have chats for one whole day",Security Class
464,this was before the automatic backup and now a whole day worth of messages has mysteriously disappeared,Security Class
465,"the video call option is still buggy and i often exerience dropped calls and video freezing, but am hopeful one day it'll all work nice and smooth",Security Class
466,worst video call quality n its really far from real time messaging,Security Class
467,"main (back) camera recorded video using the application become gibberish picture, able to use front camera for video recording only in latest version",Security Class
468,it has been   hours backing up message automatically and no progress,Security Class
469,it is nt opening,Security Class
470,n keep on crashing while m doing some other stuff in my cell,Security Class
471,but video calling quality is not very nice,Security Class
472,even on low signal it should work,Security Class
473,using without issues on my redmi s prime,Security Class
474,plz fix the bug & stop missing up wz the app,Security Class
475,"got loads of bugs, doesn't always sent the msgs",Security Class
476,it still says unsupported file format even after the update,Security Class
477,after one time backup its not include in last and last backup is not found new backup only restred some conditions its whatsapp backup is not success,Security Class
478,very useful social networking aap but video cal is not working really it's great aap,Security Class
479,sending failed why it happening so annoying before your apps was so good but now its hard to send a msg,Security Class
480,can't block people in grouop,Security Class
481,block person can see my msg in group,Security Class
482,it only shows that waiting for this massage and i am unable to see my important massage so i hate it resolve this problem,Security Class
